,T0,T1,T2
241,0.046026925422207245,0.023626998693219624,0.9303460758845732
242,0.5772522969744801,0.04900550327956384,0.3737421997459561
243,0.2237243697965105,0.010805167825538357,0.7654704623779511
244,0.06380158403702126,0.007720661594034172,0.9284777543689445
245,0.3724528210374513,0.049251706775052834,0.5782954721874958
246,0.9110160116169155,0.003389618066407408,0.08559437031667709
247,0.0020754792202139992,0.009487430694923738,0.9884370900848624
248,0.45290916469720965,0.1289737642934532,0.41811707100933704
249,0.02391424631939884,0.0044276689134721305,0.9716580847671291
250,0.036716437175517425,0.03267581947356932,0.9306077433509133
251,0.40732189457358053,0.05651829435137844,0.536159811075041
252,0.624838510197218,0.11767053706127913,0.2574909527415028
253,0.6907162087720354,0.17221109922533692,0.1370726920026276
254,0.4238747698726174,0.07175643916791824,0.5043687909594643
255,0.17011083221395193,0.021667394606191652,0.8082217731798564
256,0.9817066159961289,0.010549761878618334,0.007743622125252723
257,0.8578579088207346,0.0275400784665749,0.11460201271269037
258,0.05260006729940962,0.05838530967406653,0.8890146230265239
259,0.6025631433436435,0.2885918532999661,0.10884500335639041
260,0.04303289421571787,0.40368105951153893,0.5532860462727431
261,0.9481888257836315,0.017945598682411242,0.03386557553395726
262,0.9309290023913124,0.06569435541963006,0.003376642189057556
263,0.30146547536626367,0.005665233061805741,0.6928692915719306
264,0.07406116231556382,0.0062873799753873074,0.9196514577090489
265,0.21255618106470553,0.005765333439597161,0.7816784854956974
266,0.7611183723664909,0.0043546915678362,0.23452693606567282
267,0.08773847950350044,0.6893188530102333,0.22294266748626612
268,0.10225315822183081,0.008364561474060018,0.8893822803041093
269,0.03287871687113257,0.0903106562117336,0.8768106269171339
270,0.003228707138074992,0.004158582806754905,0.9926127100551702
271,0.966834540983869,0.023161742484186332,0.010003716531944627
272,0.08150467461431826,0.04022145860796978,0.8782738667777119
273,0.4437950085726163,0.06768342787024824,0.4885215635571355
274,0.2226116723257221,0.008491990461268322,0.7688963372130095
275,0.3109923027149878,0.10160728782012317,0.587400409464889
276,0.8135951425924844,0.05829716198292719,0.12810769542458836
277,0.014839367842858317,0.02826176053540035,0.9568988716217415
278,0.17813112007934107,0.005500139118547118,0.8163687408021117
279,0.5618414068433434,0.1720739041118451,0.26608468904481153
280,0.034449205408012204,0.009616158203585674,0.9559346363884021
281,0.8144853884439827,0.009712367569258726,0.17580224398675856
282,0.3970411565532652,0.013762594370174146,0.5891962490765607
283,0.8785548581744591,0.11507466590863705,0.0063704759169037565
284,0.35520198537481845,0.13138301048418846,0.5134150041409931
285,0.9370751946978461,0.014762509937786644,0.04816229536436726
286,0.34360967603509246,0.07300257045872682,0.5833877535061808
287,0.5389918310415287,0.010327161513124041,0.4506810074453472
288,0.0333211073833423,0.019746173932285623,0.946932718684372
289,0.8928401931266752,0.0027825853933972984,0.1043772214799275
290,0.9293929990591825,0.014234040608498649,0.056372960332318894
291,0.007154422733230276,0.013846832335027483,0.9789987449317422
292,0.03653406143651379,0.056188227924253334,0.9072777106392329
293,0.7400405398355744,0.005568549340291059,0.2543909108241345
294,0.38252394277316837,0.00705310461620087,0.6104229526106307
295,0.8515504118294054,0.009569655384328505,0.13887993278626612
296,0.9506828217334791,0.0458855684494589,0.0034316098170620495
297,0.033181416894068325,0.004015299853699847,0.9628032832522319
298,0.8111627103299394,0.16040543872706983,0.028431850942990767
299,0.9930797389148674,0.00438853140708116,0.002531729678051371
300,0.38002695051586266,0.005183200095372952,0.6147898493887642
