((51.0, 22.0),75.44766735050291)
((56.0, 42.0),7.9643091118475695)
((6.0, 24.0),56.92931129954072)
((25.0, 12.0),121.35011959861586)
((21.0, 21.0),179.99237493572335)
((20.0, 24.0),189.48036178584584)
((21.0, 23.0),192.70683080490494)
((10.0, 25.0),98.1404453314807)
((36.0, 36.0),207.74899901326756)
((59.0, 29.0),7.379810136854488)
((45.0, 44.0),87.5846041183311)
((40.0, 28.0),196.65981460199222)
((23.0, 35.0),211.25175955365683)
((51.0, 12.0),26.369263995190195)
((40.0, 17.0),140.39352624307975)
((3.0, 32.0),31.175440600389912)
((30.0, 32.0),272.12753291115104)
((55.0, 24.0),42.04134586107138)
((15.0, 14.0),88.09562017600037)
((31.0, 42.0),171.6291481700971)
((14.0, 14.0),81.02229469081908)
((27.0, 42.0),169.34720617201793)
((30.0, 9.0),97.73299212553958)
((54.0, 26.0),55.254355378063416)
((32.0, 25.0),252.0796842080494)
((51.0, 24.0),81.06223674137507)
((9.0, 25.0),88.35159097018114)
((55.0, 21.0),34.33540672188091)
((50.0, 42.0),60.4765978953122)
((19.0, 48.0),83.70786271068546)
((35.0, 50.0),85.69186904494319)
((16.0, 13.0),87.39543769351118)
((23.0, 9.0),86.81855823817341)
((40.0, 3.0),18.389865436977963)
((47.0, 10.0),41.63037612811969)
((25.0, 19.0),187.30235558945165)
((52.0, 22.0),65.95730973933449)
((13.0, 53.0),9.235680898839682)
((52.0, 32.0),75.66553702953638)
((41.0, 42.0),129.7020749958205)
((39.0, 52.0),54.14050325381616)
((31.0, 3.0),37.44678445403004)
((13.0, 19.0),103.85212246304242)
((14.0, 27.0),141.04655726342406)
((24.0, 13.0),127.89960475789407)
((29.0, 5.0),57.63720676710914)
((5.0, 41.0),26.018105271077836)
((6.0, 45.0),14.976671884408361)
((47.0, 45.0),66.16296490721442)
((42.0, 46.0),92.21741605330067)
((45.0, 52.0),25.846253468964377)
((29.0, 12.0),127.59146531593466)
((20.0, 42.0),139.36209297858363)
((52.0, 21.0),62.679575629761324)
((23.0, 1.0),9.816694514977549)
((16.0, 44.0),98.24369107732267)
((30.0, 50.0),92.23373430016927)
((23.0, 12.0),115.03698143901843)
((45.0, 23.0),135.1808186442079)
((52.0, 28.0),77.05165819964546)
((43.0, 49.0),61.90165040213838)
((25.0, 23.0),221.76479551758683)
((10.0, 24.0),95.81311802715317)
((25.0, 44.0),144.83658586774513)
((20.0, 14.0),119.26643914537888)
((23.0, 37.0),197.11052403340153)
((43.0, 39.0),135.25518621386277)
((10.0, 19.0),77.6999829871913)
((35.0, 43.0),152.54493665800337)
((22.0, 26.0),216.16059371879072)
((25.0, 26.0),242.67863972353805)
((41.0, 18.0),140.99857147680228)
((35.0, 46.0),124.19332541472954)
((49.0, 38.0),88.34168755995918)
((22.0, 36.0),197.14565416385085)
((44.0, 22.0),140.13088248353148)
((56.0, 25.0),34.011475712829906)
((19.0, 32.0),189.08410396022896)
((47.0, 43.0),79.16122419596388)
((24.0, 52.0),65.1310351525868)
((13.0, 5.0),5.5445173107856505)
((18.0, 48.0),78.57268035072937)
((16.0, 32.0),159.8370815944994)
((56.0, 24.0),32.24097025256679)
((13.0, 28.0),132.16387983252784)
((30.0, 54.0),52.23638417319776)
((53.0, 40.0),43.64446880981301)
((18.0, 13.0),99.73726895457425)
((26.0, 0.0),5.367948044696789)
((45.0, 50.0),42.220476657582395)
((8.0, 49.0),6.124605883640442)
((24.0, 53.0),55.42193947601298)
((26.0, 28.0),260.65583661554524)
((2.0, 19.0),4.366017794064092)
((57.0, 41.0),3.045325887164587)
((24.0, 3.0),31.5440899687761)
((36.0, 49.0),92.5748117552028)
((3.0, 25.0),29.294136657262335)
((20.0, 13.0),110.76569291481161)
((24.0, 57.0),16.383329378554237)
((35.0, 58.0),7.479998422523302)
((9.0, 48.0),20.25014568013546)
((6.0, 14.0),17.983352807819024)
((40.0, 47.0),94.75834316467828)
((2.0, 35.0),16.66379671172617)
((37.0, 19.0),174.59055757591656)
((32.0, 39.0),199.66897168813944)
((9.0, 36.0),81.8257198984499)
((32.0, 0.0),6.876424291547245)
((31.0, 44.0),151.71288093062773)
((33.0, 54.0),50.113022296219825)
((26.0, 51.0),79.06359480711512)
((36.0, 52.0),63.80050837919125)
((5.0, 13.0),4.151793167137825)
((19.0, 57.0),2.21272353608434)
((54.0, 27.0),56.370306402140464)
((44.0, 38.0),132.55422551055875)
((7.0, 38.0),56.267464117016)
((15.0, 51.0),37.05826365477666)
((39.0, 44.0),125.62421093841732)
((52.0, 46.0),21.26013946196821)
((40.0, 38.0),164.98457743690494)
((24.0, 54.0),45.690297607710804)
((20.0, 15.0),127.60621513415664)
((49.0, 26.0),104.70720256289496)
((21.0, 2.0),14.068388786488555)
((1.0, 28.0),12.350570938447625)
((8.0, 42.0),47.8536774434572)
((18.0, 47.0),86.98577313737793)
((25.0, 2.0),23.656356404507903)
((47.0, 9.0),34.10553691639748)
((15.0, 50.0),45.277877538951685)
((16.0, 20.0),134.5138096341836)
((26.0, 1.0),15.284276724006425)
((32.0, 57.0),21.3312683788347)
((1.0, 29.0),12.602729517803688)
